,user_id,blitz_rating,total_games_played
705,BbZ2018,1423.0,20454
706,guile_mig,1434.0,1827
707,TR3Z,1305.0,3673
708,pawninthedawn,1173.0,226
709,Periostio,1990.0,36570
710,Viktor37bulaew,1236.0,3
711,SashaMun,1506.0,44394
712,C-6YXTbI-6APAXTbI,2234.0,957
713,Great1099,962.0,44
714,MightBeDecent,2663.0,6058
715,auror4,1225.0,3572
716,MasterBishop,2246.0,37801
717,alexeishmidt,1182.0,3199
718,AnatraCubista,1506.0,89
719,fenixwolf9104,1997.0,3907
720,EGORZEMLIANOV,822.0,448
721,AWildAccountant,1756.0,264
722,julianomagnus,1237.0,119
723,osprey7,2304.0,3819
724,Wolf6666,1336.0,10927
725,Massimissa50,1913.0,1877
726,HrayrArm,1784.0,8
727,mesterseen,2421.0,40707
728,pacman1354,2510.0,276
729,marcomira,1303.0,11575
730,vania457,2322.0,59418
731,Digitaldreamer,2167.0,9442
732,harsha15,2617.0,3114
733,vlad_thechesslover,2463.0,3540
734,TheChessMate2018,2074.0,7336
735,mortpal,1405.0,11777
736,Devdev,1245.0,4266
737,hhb9,1318.0,530
738,jvr84,1418.0,10462
739,Jega15,1468.0,1219
740,coolqueenbee,1500.0,0
741,Xplo1983,1097.0,45
742,RolandM1,1419.0,2947
743,TZahar,1059.0,18248
744,ILLYA_Belov,2500.0,1269
745,AnaDzuba,2152.0,114
746,armyan,1894.0,1398
747,napirnet,1429.0,5407
748,thejc50,2164.0,6328
749,Ashraf202,2099.0,24527
750,KeonSK,1500.0,0
751,biffdiggerence,2377.0,14762
752,Anton87582,1034.0,35
753,xyz1981,2587.0,2151
754,beatermachine,1841.0,0
755,chessknocker7,2606.0,420
756,dogrovas,1931.0,12025
757,petrover,2612.0,2020
758,Noot_Noot1,1280.0,1965
759,VitusIII,2146.0,19763
760,freyrolito,1939.0,5642
761,AZF0001,1109.0,914
762,MastaOfDisasta,2330.0,20063
763,fockengrind,1016.0,1516
764,Xavi_M,1344.0,182
765,turbado2023,952.0,27
766,ArnaldoNP,1871.0,8113
767,Hristo1956,949.0,41
768,Didarchal,1881.0,2480
769,Burakarzuoglu,1023.0,5
770,weduskece,1765.0,28126
771,Maksim2204,1219.0,5
772,saeta,2476.0,17067
773,Tiloli,1249.0,3105
774,its_me101,963.0,50
775,JZEPEDA12,1094.0,4335
776,joniking1999,1293.0,1575
777,Akalp25,1406.0,12584
778,Abanamate,2482.0,15297
779,Emmett_Brown,1720.0,861
780,lplaych,1955.0,759
781,mahendra72,1532.0,11
782,N_Drake,1358.0,47
783,fabiobc,1060.0,162
784,twobraveelephants,2365.0,1514
785,chess-is-a-live,2488.0,325
786,keko135,1268.0,1165
787,Brauberg111,2002.0,44280
788,CivEn,2572.0,20362
789,TheEagle_64_19,2208.0,11245
790,OmkarReddy,1335.0,355
791,ihsoza,1317.0,8941
792,dr_xStranger,2749.0,11230
793,Tablebender,978.0,24
794,tonyjames1980,1315.0,40
795,Marvestinc,1409.0,2084
796,Yazan_metax,1452.0,970
797,l3ab-idin,1807.0,3186
798,hassan1367,1292.0,286
799,Alexprofesional,2582.0,1841
800,Rafi-2020,2547.0,7528
801,Chelikk,1278.0,2321
802,MagicSymphony,2523.0,84
803,Dovolen123,2014.0,250
804,Daniel123345,2186.0,2822
805,omidali1362,1861.0,22119
806,TGibby,1052.0,6664
807,christohahaha,2210.0,12398
808,ashi1324,1406.0,558
809,kaydavral,1511.0,2796
810,Auricaura,1484.0,8051
811,HogRider1919,1147.0,302
812,MisterOnua,1995.0,54138
813,Optical64,1911.0,2758
814,Mercedecc,2230.0,2383
815,Fidayi19_63,1578.0,2893
816,iExystoria,1183.0,17
817,vladimir_garbuzov,2235.0,5110
818,PowerRank,886.0,24
819,baldinizk,1394.0,1208
820,medoy1117,1705.0,951
821,Venom_Master200,873.0,16
822,gnuzzi1972,1351.0,5367
823,injuredWolf,1299.0,2639
824,Rudra187,2052.0,1091
825,Fart007,2408.0,8251
826,morasheed95,1254.0,920
827,G0tcha,1470.0,2873
828,kagaskostas,2328.0,66302
829,fromsakh,1334.0,311
830,UltracoldAtom,2184.0,6920
831,Hasanyilmaz51,923.0,1488
832,roksom,1182.0,11943
833,y0ucantakem3,2440.0,6745
834,Kaantheking80,1405.0,6046
835,b31b6Consultant,2508.0,200
